item_id,card_name,title,price_usd,sold_date,scraped_at,url
257446402162,SFD Ahri,Riftbound Spiritforged Signature Overnumbered Ahri - Inquisitive PSA 10 English Opens in a new window or tab,10000.0,2026-07-06,2026-07-11 03:04:13,https://www.ebay.com/itm/257446402162
287433816973,OGN Ahri,2025 RIFTBOUND OGN-ORIGINS SIGNATURE OVERNUMBER AHRI - NINE-TAILED FOX PSA 10 Opens in a new window or tab,8000.0,2026-07-05,2026-07-11 03:04:13,https://www.ebay.com/itm/287433816973
318523899048,SFD Ahri,🌸🦊 2026 RIFTBOUND: LOL SFD 227*-SPIRITFORGED AHRI INQUISITIVE SIGNATURE PSA 10 Opens in a new window or tab,8344.0,2026-07-05,2026-07-11 03:04:13,https://www.ebay.com/itm/318523899048
287433797370,SFD Bard,2026 RIFTBOUND SFD-SPIRITFORGED #228* BARD - MERCURIAL PSA 10 SIGNATURE Opens in a new window or tab,950.0,2026-07-05,2026-07-11 03:04:13,https://www.ebay.com/itm/287433797370
147403684402,SFD Soraka,RIFTBOUND LEAGUE OF LEGENDS SFD SIGNATURE OVERNUMBER SORAKA PSA 10 Opens in a new window or tab,1300.0,2026-07-05,2026-07-11 03:04:13,https://www.ebay.com/itm/147403684402
358271396114,OGN Jinx,2025 Riftbound OGN EN Signature Overnumber #301* Jinx PSA 10 GEM MINT Opens in a new window or tab,2637.58,2026-07-05,2026-07-11 03:04:13,https://www.ebay.com/itm/358271396114
278147946341,SFD Yasuo,2026 RIFTBOUND: LEAGUE OF LEGENDS YASUO SIGNATURE OVERNUMBER SFD #235 PSA 10 Opens in a new window or tab,900.0,2026-07-05,2026-07-11 03:04:13,https://www.ebay.com/itm/278147946341
358680558746,SFD Irelia,2026 RIFTBOUND SPIRITFORGED SIGNATURE OVERNUMBER #225* IRELIA - FERVENT PSA 10 Opens in a new window or tab,2699.99,2026-07-04,2026-07-11 03:04:13,https://www.ebay.com/itm/358680558746
117269950536,Aphelios,2026 RIFTBOUND: LEAGUE OF LEGENDS SIGNATURE OVERNUMBER APHELIOS PSA 10 Opens in a new window or tab,1178.0,2026-07-04,2026-07-11 03:04:13,https://www.ebay.com/itm/117269950536
158051813996,OGN Ahri,2025 Riftbound Origins Ahri Signature Overnumber #303 GEM MINT PSA 10 Opens in a new window or tab,7000.0,2026-07-04,2026-07-11 03:04:13,https://www.ebay.com/itm/158051813996
307024655782,Aphelios,2026 RIFTBOUND: LEAGUE OF LEGENDS SIGNATURE OVERNUMBER APHELIOS PSA 10 Opens in a new window or tab,1075.0,2026-07-04,2026-07-11 03:04:13,https://www.ebay.com/itm/307024655782
117268313880,Karma,2026 RIFTBOUND: LEAGUE OF LEGENDS SIGNATURE OVERNUMBER KARMA CHANNELER PSA 10 Opens in a new window or tab,769.59,2026-07-04,2026-07-11 03:04:13,https://www.ebay.com/itm/117268313880
377316498646,SFD Vayne,2026 RIFTBOUND SPIRITFORGED #223* VAYNE - HUNTER SIGNATURE OVERNUMBER PSA 10 Opens in a new window or tab,2500.0,2026-07-04,2026-07-11 03:04:13,https://www.ebay.com/itm/377316498646
206375890161,SFD Teemo,2026 RIFTBOUND SPIRITFORGED #230*/221 TEEMO SIGNATURE OVERNUMBER PSA 10 Opens in a new window or tab,1552.8,2026-07-04,2026-07-11 03:04:13,https://www.ebay.com/itm/206375890161
206375886744,SFD Vayne,2026 RIFTBOUND SPIRITFORGED #223*/221 VAYNE SIGNATURE OVERNUMBER PSA 10 Opens in a new window or tab,2364.48,2026-07-04,2026-07-11 03:04:13,https://www.ebay.com/itm/206375886744
